car_id,company_id,model,category,fuel_type,model_year,price
105,31,500e,Electric,Electric,2025,30000
106,32,Emgrand,Sedan,Petrol,2025,20000
107,32,Coolray,SUV,Petrol,2025,25000
108,32,Geometry C,Electric,Electric,2025,30000
109,33,G70,Sedan,Petrol,2025,45000
110,33,G80,Sedan,Hybrid,2025,60000
111,33,GV70,SUV,Hybrid,2025,55000
112,34,Haval Jolion,SUV,Petrol,2025,22000
113,34,Haval H6,SUV,Hybrid,2025,30000
114,34,Poer,Pickup,Petrol,2025,28000
115,35,XE,Sedan,Petrol,2025,45000
116,35,F-Pace,SUV,Petrol,2025,60000
117,35,F-Type,Sports,Petrol,2025,75000
118,36,Jesko,Sports,Petrol,2025,3000000
119,36,Regera,Sports,Hybrid,2025,2000000
120,37,Huracan,Sports,Petrol,2025,250000
121,37,Urus,SUV,Petrol,2025,230000
122,37,Revuelto,Sports,Hybrid,2025,600000
123,38,Defender,SUV,Petrol,2025,60000
124,38,Discovery,SUV,Hybrid,2025,70000
125,38,Range Rover,SUV,Hybrid,2025,110000
126,39,Corsair,SUV,Hybrid,2025,40000
127,39,Nautilus,SUV,Hybrid,2025,55000
128,39,Navigator,SUV,Petrol,2025,80000
129,40,Ghibli,Sedan,Petrol,2025,85000
130,40,Levante,SUV,Petrol,2025,95000
131,40,GranTurismo,Sports,Petrol,2025,150000
132,41,Mazda 3,Sedan,Petrol,2025,24000
133,41,CX-5,SUV,Petrol,2025,30000
134,41,CX-60,SUV,Hybrid,2025,45000
135,42,Artura,Sports,Hybrid,2025,250000
136,42,720S,Sports,Petrol,2025,300000
137,43,Lancer,Sedan,Petrol,2025,22000
138,43,Outlander,SUV,Hybrid,2025,35000
139,43,Eclipse Cross,SUV,Hybrid,2025,30000
140,44,208,Hatchback,Petrol,2025,21000
141,44,308,Hatchback,Hybrid,2025,28000
142,44,3008,SUV,Hybrid,2025,38000
143,45,Clio,Hatchback,Petrol,2025,20000
144,45,Megane,Hatchback,Hybrid,2025,28000
145,45,Austral,SUV,Hybrid,2025,35000
